MatchType,Value,Category
STRICT,0.00,ORIGINAL
SUPERSET,100.00,ORIGINAL
SUPERSET_NO_TYPES,100.00,ORIGINAL
SUBSET,100.00,ORIGINAL
SUBSET_NO_TYPES,100.00,ORIGINAL
ONE,100.00,ORIGINAL
ONE_NO_TYPES,100.00,ORIGINAL
STRICT,0.00,OTHERS
SUPERSET,33.33,OTHERS
SUPERSET_NO_TYPES,33.33,OTHERS
SUBSET,0.00,OTHERS
SUBSET_NO_TYPES,0.00,OTHERS
ONE,66.67,OTHERS
ONE_NO_TYPES,66.67,OTHERS
