MatchType,Percentage
ACCESSION,100.00
ONE_NO_TYPES,98.24
SUPERSET_NO_TYPES,98.15
ONE,98.14
STRICT,0.27
SUBSET_NO_TYPES,10.47
SUPERSET,98.07
SUBSET,2.22
